Year,Tm,Lg,G,W,L,Ties,W-L,pythW-L,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,Bat,P,TopPlayer,Managers
1941,Boston Red Sox,AL,155,84,70,1,0.545,0.565,2nd of 8,17,,865,750,718497,28.2,29.2,31,15,T.Williams (10.4),J.Cronin (84-70)
1940,Boston Red Sox,AL,154,82,72,0,0.532,0.525,4th of 8,8,,872,825,716234,28.1,28.9,33,18,T.Williams (6.6),J.Cronin (82-72)
1939,Boston Red Sox,AL,152,89,62,1,0.589,0.551,2nd of 8,17,,890,795,573070,27.7,29,29,15,J.Foxx (6.9),J.Cronin (89-62)
1938,Boston Red Sox,AL,150,88,61,1,0.591,0.583,2nd of 8,9.5,,902,751,646459,28.5,28.3,30,17,J.Foxx (7.6),J.Cronin (88-61)
1937,Boston Red Sox,AL,154,80,72,2,0.526,0.526,5th of 8,21,,821,775,559659,28.6,29.9,30,12,L.Grove (9.2),J.Cronin (80-72)
1936,Boston Red Sox,AL,155,74,80,1,0.481,0.507,6th of 8,28.5,,775,764,626895,29.1,29.3,31,15,L.Grove (10.6),J.Cronin (74-80)
1935,Boston Red Sox,AL,154,78,75,1,0.51,0.491,4th of 8,16,,718,732,558568,28.6,29.3,33,14,W.Ferrell (10.6),J.Cronin (78-75)
1934,Boston Red Sox,AL,153,76,76,1,0.5,0.526,4th of 8,24,,820,775,610640,29,28.5,34,13,B.Werber (5.4),B.Harris (76-76)
1933,Boston Red Sox,AL,149,63,86,0,0.423,0.464,7th of 8,34.5,,700,758,268715,28.4,26.9,36,11,R.Johnson (3.6),M.McManus (63-86)
1932,Boston Red Sox,AL,154,43,111,0,0.279,0.293,8th of 8,64,,566,915,182150,28.4,25.7,41,18,D.Alexander (3.8),S.Collins (11-44) and M.McManus (32-67)
1931,Boston Red Sox,AL,153,62,90,1,0.408,0.389,6th of 8,45,,625,800,350975,28.6,28.3,37,12,E.Webb (5.1),S.Collins (62-90)
1930,Boston Red Sox,AL,154,52,102,0,0.338,0.372,8th of 8,50,,612,814,444045,28.6,27.9,34,13,M.Gaston (5.1),H.Wagner (52-102)
1929,Boston Red Sox,AL,155,58,96,1,0.377,0.373,8th of 8,48,,605,803,394620,28.2,26.3,35,12,M.Gaston (4.8),B.Carrigan (58-96)
1928,Boston Red Sox,AL,154,57,96,1,0.373,0.38,8th of 8,43.5,,589,770,396920,28.2,24.6,35,17,R.Ruffing (4.8),B.Carrigan (57-96)
1927,Boston Red Sox,AL,154,51,103,0,0.331,0.341,8th of 8,59,,597,856,305275,27.5,25,37,14,D.MacFayden (2.8),B.Carrigan (51-103)
1926,Boston Red Sox,AL,154,46,107,1,0.301,0.326,8th of 8,44.5,,562,835,285155,28.4,25.3,40,16,T.Rigney (4.5),L.Fohl (46-107)
1925,Boston Red Sox,AL,152,47,105,0,0.309,0.338,8th of 8,49.5,,639,922,267782,27.8,27.7,41,15,H.Ehmke (4.9),L.Fohl (47-105)
1924,Boston Red Sox,AL,157,67,87,3,0.435,0.458,7th of 8,25,,735,806,448556,30.1,29.1,33,16,H.Ehmke (8.2),L.Fohl (67-87)
1923,Boston Red Sox,AL,154,61,91,2,0.401,0.355,8th of 8,37,,584,809,229688,29.2,28.7,30,11,H.Ehmke (6.1),F.Chance (61-91)
1922,Boston Red Sox,AL,154,61,93,0,0.396,0.387,8th of 8,33,,598,769,259184,29.5,28.5,30,10,J.Quinn (4.7),H.Duffy (61-93)
1921,Boston Red Sox,AL,154,75,79,0,0.487,0.481,5th of 8,23.5,,668,696,279273,29.5,27.1,27,11,S.Jones (7.2),H.Duffy (75-79)
1920,Boston Red Sox,AL,154,72,81,1,0.471,0.467,5th of 8,25.5,,650,698,402445,28.1,25.7,32,11,H.Hooper (5.2),E.Barrow (72-81)
1919,Boston Red Sox,AL,138,66,71,1,0.482,0.51,6th of 8,20.5,,564,552,417291,27.4,25.8,30,13,B.Ruth (9.9),E.Barrow (66-71)
1918,Boston Red Sox,AL,126,75,51,0,0.595,0.6,1st of 8,--,Won WS (4-2),474,380,249513,28.5,25.3,32,12,B.Ruth (7.0),E.Barrow (75-51)
1917,Boston Red Sox,AL,157,90,62,5,0.592,0.59,2nd of 8,9,,555,455,387856,27.9,24.8,27,9,B.Ruth (8.6),J.Barry (90-62)
1916,Boston Red Sox,AL,156,91,63,2,0.591,0.562,1st of 8,--,Won WS (4-1),550,480,496397,27,24.4,29,10,B.Ruth (10.4),B.Carrigan (91-63)
1915,Boston Red Sox,AL,155,101,50,4,0.669,0.631,1st of 8,--,Won WS (4-1),669,499,539885,26.7,24.5,30,11,T.Speaker (7.1),B.Carrigan (101-50)
1914,Boston Red Sox,AL,159,91,62,6,0.595,0.566,2nd of 8,8.5,,589,510,481359,25.4,24.7,32,14,T.Speaker (9.9),B.Carrigan (91-62)
1913,Boston Red Sox,AL,151,79,71,1,0.527,0.515,4th of 8,15.5,,631,610,437194,26.1,24.6,29,13,T.Speaker (8.5),J.Stahl (39-41) and B.Carrigan (40-30)
1912,Boston Red Sox,AL,154,105,47,2,0.691,0.669,1st of 8,--,Won WS (4-3-1),799,544,597096,26.1,25.2,27,11,S.Wood (11.4),J.Stahl (105-47)
1911,Boston Red Sox,AL,153,78,75,0,0.51,0.526,5th of 8,24,,680,643,503961,24.9,25,43,16,S.Wood (6.3),P.Donovan (78-75)
1910,Boston Red Sox,AL,158,81,72,5,0.529,0.558,4th of 8,22.5,,641,564,584619,25.5,25.3,35,13,T.Speaker (7.7),P.Donovan (81-72)
1909,Boston Red Sox,AL,152,88,63,1,0.583,0.541,3rd of 8,9.5,,601,549,668965,25.9,25.4,37,19,T.Speaker (6.3),F.Lake (88-63)
1908,Boston Red Sox,AL,155,75,79,1,0.487,0.543,5th of 8,15.5,,564,513,473048,27.3,29.5,39,16,C.Young (9.7),D.McGuire (53-62) and F.Lake (22-17)
1907,Boston Americans,AL,155,59,90,6,0.396,0.418,7th of 8,32.5,,466,558,436777,29.1,30.2,35,14,C.Young (7.9),C.Young (3-3) G.Huff (2-6) B.Unglaub (9-20) and D.McGuire (45-61)
1906,Boston Americans,AL,155,49,105,1,0.318,0.316,8th of 8,45.5,,463,706,410209,29.1,30.2,31,12,C.Stahl (4.1),J.Collins (35-79) and C.Stahl (14-26)
1905,Boston Americans,AL,153,78,74,1,0.513,0.511,4th of 8,16,,579,565,468828,31.6,30.1,27,9,C.Young (7.1),J.Collins (78-74)
1904,Boston Americans,AL,157,95,59,3,0.617,0.619,1st of 8,--,,608,466,623295,31.2,30.1,18,5,C.Young (9.6),J.Collins (95-59)
1903,Boston Americans,AL,141,91,47,3,0.659,0.651,1st of 8,--,Won WS (5-3),708,504,379338,29.6,28.2,20,6,C.Young (8.3),J.Collins (91-47)
1902,Boston Americans,AL,138,77,60,1,0.562,0.546,3rd of 8,6.5,,664,600,348567,28.6,28.4,24,13,C.Young (9.7),J.Collins (77-60)
1901,Boston Americans,AL,138,79,57,2,0.581,0.6,2nd of 8,4,,759,608,289448,28,28.3,24,11,C.Young (12.6),J.Collins (79-57)
